CBSA Code,CBSA Title,Metro
12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta
14460,"Boston-Cambridge-Newton, MA-NH",Boston
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
26420,"Houston-The Woodlands-Sugar Land, TX",Houston
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia
41860,"San Francisco-Oakland-Hayward, CA",San Francisco
42660,"Seattle-Tacoma-Bellevue, WA",Seattle
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington DC
