major_id,Undergraduate Major
200,Accounting
450,Aerospace Engineering
100,Agriculture
900,Anthropology
120,Architecture
940,Art History
160,Biology
200,Business Management
450,Chemical Engineering
830,Chemistry
450,Civil Engineering
250,Communications
500,Computer Engineering
300,Computer Science
450,Construction
890,Criminal Justice
940,Drama
900,Economics
400,Education
450,Electrical Engineering
520,English
940,Film
200,Finance
790,Forestry
900,Geography
450,Geology
940,Graphic Design
600,Health Care Administration
700,History
200,Hospitality & Tourism
450,Industrial Engineering
300,Information Technology (IT)
940,Interior Design
880,International Relations
250,Journalism
200,Management Information Systems (MIS)
200,Marketing
740,Math
450,Mechanical Engineering
940,Music
600,Nursing
540,Nutrition
820,Philosophy
600,Physician Assistant
830,Physics
900,Political Science
870,Psychology
920,Religion
900,Sociology
550,Spanish
