major_id,major
0,Accounting
1,Aerospace Engineering
2,Agriculture
3,Anthropology
4,Architecture
5,Art History
6,Biology
7,Business Management
8,Chemical Engineering
9,Chemistry
10,Civil Engineering
11,Communications
12,Computer Engineering
13,Computer Science
14,Construction
15,Criminal Justice
16,Drama
17,Economics
18,Education
19,Electrical Engineering
20,English
21,Film
22,Finance
23,Forestry
24,Geography
25,Geology
26,Graphic Design
27,Health Care Administration
28,History
29,Hospitality & Tourism
30,Industrial Engineering
31,Information Technology (IT)
32,Interior Design
33,International Relations
34,Journalism
35,Management Information Systems (MIS)
36,Marketing
37,Math
38,Mechanical Engineering
39,Music
40,Nursing
41,Nutrition
42,Philosophy
43,Physician Assistant
44,Physics
45,Political Science
46,Psychology
47,Religion
48,Sociology
49,Spanish
